Place,RIGOCode,RIGOCodeSt,RIGOCodeNo,RIGO2,RIGO,Code,Muni,MSA,MuniCode2,MSAPOP,State
Woodstock town,VT11,VT,11,0,Two Rivers - Ottauquechee RPC,2785975,1,Not Applicable,5085975,-,VT
Windsor town,VT10,VT,10,0,Southern Windsor County RPC,2784925,1,Not Applicable,5084925,-,VT
West Windsor town,VT10,VT,10,0,Southern Windsor County RPC,2783050,1,Not Applicable,5083050,-,VT
Worcester city,MA05,MA,5,0,Central Massachusetts RPC,2782001,1,Not Applicable,2582001,-,MA
Weston town,VT03,VT,3,0,Windham Regional Commission,2782000,1,Not Applicable,5082000,-,VT
Winchendon town,MA08,MA,8,0,Montachusetts RPC,2780405,1,"Boston-Cambridge-Quincy, MA-NH",2580405,4552402,MA
Weathersfield town,VT10,VT,10,0,Southern Windsor County RPC,2777500,1,Not Applicable,5077500,-,VT
Westminster town,MA08,MA,8,0,Montachusetts RPC,2777010,1,"Boston-Cambridge-Quincy, MA-NH",2577010,4552402,MA
West Brookfield town,MA05,MA,5,0,Central Massachusetts RPC,2775400,1,"Worcester, MA",2575400,798552,MA
West Boylston town,MA05,MA,5,0,Central Massachusetts RPC,2775155,1,"Worcester, MA",2575155,798552,MA
Westborough town,MA05,MA,5,0,Central Massachusetts RPC,2775015,1,"Worcester, MA",2575015,798552,MA
Webster town,MA05,MA,5,0,Central Massachusetts RPC,2773895,1,"Worcester, MA",2573895,798552,MA
Warren town,MA05,MA,5,0,Central Massachusetts RPC,2773090,1,"Worcester, MA",2573090,798552,MA
Uxbridge town,MA05,MA,5,0,Central Massachusetts RPC,2771620,1,"Worcester, MA",2571620,798552,MA
Upton town,MA05,MA,5,0,Central Massachusetts RPC,2771480,1,"Worcester, MA",2571480,798552,MA
Stockbridge town,VT11,VT,11,0,Two Rivers - Ottauquechee RPC,2770375,1,Not Applicable,5070375,-,VT
Springfield town,VT10,VT,10,0,Southern Windsor County RPC,2769550,1,Not Applicable,5069550,-,VT
Templeton town,MA08,MA,8,0,Montachusetts RPC,2769275,1,"Boston-Cambridge-Quincy, MA-NH",2569275,4552402,MA
Sutton town,MA05,MA,5,0,Central Massachusetts RPC,2768610,1,"Worcester, MA",2568610,798552,MA
Sturbridge town,MA05,MA,5,0,Central Massachusetts RPC,2768155,1,"Worcester, MA",2568155,798552,MA
Sterling town,MA08,MA,8,0,Montachusetts RPC,2767385,1,"Worcester, MA",2567385,798552,MA
Spencer town,MA05,MA,5,0,Central Massachusetts RPC,2766105,1,"Worcester, MA",2566105,798552,MA
Sharon town,VT11,VT,11,0,Two Rivers - Ottauquechee RPC,2763775,1,Not Applicable,5063775,-,VT
Southbridge Town city,MA05,MA,5,0,Central Massachusetts RPC,2763345,1,"Worcester, MA",2563345,798552,MA
Southborough town,MA09,MA,9,0,Metropolitan Area Planning Council,2763165,1,"Boston-Cambridge-Quincy, MA-NH",2563165,4552402,MA
Shrewsbury town,MA05,MA,5,0,Central Massachusetts RPC,2761800,1,"Worcester, MA",2561800,798552,MA
Royalton town,VT11,VT,11,0,Two Rivers - Ottauquechee RPC,2760850,1,Not Applicable,5060850,-,VT
Rochester town,VT11,VT,11,0,Two Rivers - Ottauquechee RPC,2760100,1,Not Applicable,5060100,-,VT
Rutland town,MA05,MA,5,0,Central Massachusetts RPC,2758825,1,"Worcester, MA",2558825,798552,MA
Royalston town,MA08,MA,8,0,Montachusetts RPC,2758580,1,"Boston-Cambridge-Quincy, MA-NH",2558580,4552402,MA
Reading town,VT10,VT,10,0,Southern Windsor County RPC,2758375,1,Not Applicable,5058375,-,VT
Pomfret town,VT11,VT,11,0,Two Rivers - Ottauquechee RPC,2756350,1,Not Applicable,5056350,-,VT
Plymouth town,VT11,VT,11,0,Two Rivers - Ottauquechee RPC,2756050,1,Not Applicable,5056050,-,VT
Princeton town,MA05,MA,5,0,Central Massachusetts RPC,2755395,1,"Worcester, MA",2555395,798552,MA
Phillipston town,MA08,MA,8,0,Montachusetts RPC,2753225,1,"Boston-Cambridge-Quincy, MA-NH",2553225,4552402,MA
Petersham town,MA08,MA,8,0,Montachusetts RPC,2753120,1,Not Applicable,2553120,-,MA
Norwich town,VT11,VT,11,0,Two Rivers - Ottauquechee RPC,2752900,1,Not Applicable,5052900,-,VT
Paxton town,MA05,MA,5,0,Central Massachusetts RPC,2752420,1,"Worcester, MA",2552420,798552,MA
Oxford town,MA05,MA,5,0,Central Massachusetts RPC,2751825,1,"Worcester, MA",2551825,798552,MA
Oakham town,MA05,MA,5,0,Central Massachusetts RPC,2750670,1,"Worcester, MA",2550670,798552,MA
North Brookfield town,MA05,MA,5,0,Central Massachusetts RPC,2747135,1,"Worcester, MA",2547135,798552,MA
Northbridge town,MA05,MA,5,0,Central Massachusetts RPC,2746925,1,"Worcester, MA",2546925,798552,MA
Northborough town,MA05,MA,5,0,Central Massachusetts RPC,2746820,1,"Worcester, MA",2546820,798552,MA
New Braintree town,MA05,MA,5,0,Central Massachusetts RPC,2745105,1,"Worcester, MA",2545105,798552,MA
Millville town,MA05,MA,5,0,Central Massachusetts RPC,2741585,1,"Providence-New Bedford-Fall River, RI-MA",2541585,1600852,MA
Millbury town,MA05,MA,5,0,Central Massachusetts RPC,2741340,1,"Worcester, MA",2541340,798552,MA
Ludlow town,VT10,VT,10,0,Southern Windsor County RPC,2741275,1,Not Applicable,5041275,-,VT
Milford town,MA09,MA,9,0,Metropolitan Area Planning Council,2741165,1,"Boston-Cambridge-Quincy, MA-NH",2541165,4552402,MA
Mendon town,MA05,MA,5,0,Central Massachusetts RPC,2740255,1,"Boston-Cambridge-Quincy, MA-NH",2540255,4552402,MA
Lunenburg town,MA08,MA,8,0,Montachusetts RPC,2737420,1,"Boston-Cambridge-Quincy, MA-NH",2537420,4552402,MA
Leominster city,MA08,MA,8,0,Montachusetts RPC,2735075,1,"Boston-Cambridge-Quincy, MA-NH",2535075,4552402,MA
Leicester town,MA05,MA,5,0,Central Massachusetts RPC,2734795,1,"Worcester, MA",2534795,798552,MA
Lancaster town,MA08,MA,8,0,Montachusetts RPC,2734165,1,"Worcester, MA",2534165,798552,MA
Hartland town,VT11,VT,11,0,Two Rivers - Ottauquechee RPC,2732425,1,Not Applicable,5032425,-,VT
Hartford town,VT11,VT,11,0,Two Rivers - Ottauquechee RPC,2732275,1,Not Applicable,5032275,-,VT
Hubbardston town,MA08,MA,8,0,Montachusetts RPC,2731435,1,"Worcester, MA",2531435,798552,MA
Hopedale town,MA05,MA,5,0,Central Massachusetts RPC,2730945,1,"Boston-Cambridge-Quincy, MA-NH",2530945,4552402,MA
Holden town,MA05,MA,5,0,Central Massachusetts RPC,2730560,1,"Worcester, MA",2530560,798552,MA
Harvard town,MA08,MA,8,0,Montachusetts RPC,2728950,1,"Boston-Cambridge-Quincy, MA-NH",2528950,4552402,MA
Hardwick town,MA05,MA,5,0,Central Massachusetts RPC,2728740,1,Not Applicable,2528740,-,MA
Grafton town,MA05,MA,5,0,Central Massachusetts RPC,2726430,1,"Worcester, MA",2526430,798552,MA
Gardner city,MA08,MA,8,0,Montachusetts RPC,2725485,1,"Boston-Cambridge-Quincy, MA-NH",2525485,4552402,MA
Fitchburg city,MA08,MA,8,0,Montachusetts RPC,2723875,1,"Boston-Cambridge-Quincy, MA-NH",2523875,4552402,MA
East Brookfield town,MA05,MA,5,0,Central Massachusetts RPC,2718560,1,"Worcester, MA",2518560,798552,MA
Dudley town,MA05,MA,5,0,Central Massachusetts RPC,2717685,1,"Worcester, MA",2517685,798552,MA
Douglas town,MA05,MA,5,0,Central Massachusetts RPC,2717300,1,"Worcester, MA",2517300,798552,MA
Clinton town,MA08,MA,8,0,Montachusetts RPC,2714395,1,"Worcester, MA",2514395,798552,MA
Chester town,VT10,VT,10,0,Southern Windsor County RPC,2713675,1,Not Applicable,5013675,-,VT
Charlton town,MA05,MA,5,0,Central Massachusetts RPC,2712715,1,"Worcester, MA",2512715,798552,MA
Cavendish town,VT10,VT,10,0,Southern Windsor County RPC,2712250,1,Not Applicable,5012250,-,VT
Brookfield town,MA05,MA,5,0,Central Massachusetts RPC,2709105,1,"Worcester, MA",2509105,798552,MA
Bridgewater town,VT11,VT,11,0,Two Rivers - Ottauquechee RPC,2708275,1,Not Applicable,5008275,-,VT
Boylston town,MA05,MA,5,0,Central Massachusetts RPC,2707525,1,"Worcester, MA",2507525,798552,MA
Bolton town,MA09,MA,9,0,Metropolitan Area Planning Council,2706365,1,"Boston-Cambridge-Quincy, MA-NH",2506365,4552402,MA
Blackstone town,MA05,MA,5,0,Central Massachusetts RPC,2706015,1,"Providence-New Bedford-Fall River, RI-MA",2506015,1600852,MA
Bethel town,VT11,VT,11,0,Two Rivers - Ottauquechee RPC,2705800,1,Not Applicable,5005800,-,VT
Berlin town,MA05,MA,5,0,Central Massachusetts RPC,2705490,1,"Boston-Cambridge-Quincy, MA-NH",2505490,4552402,MA
Barre town,MA05,MA,5,0,Central Massachusetts RPC,2703740,1,"Worcester, MA",2503740,798552,MA
Auburn town,MA05,MA,5,0,Central Massachusetts RPC,2702760,1,"Worcester, MA",2502760,798552,MA
